url,type,param,technique,risk,dbms,payload,evidence,fix_snippet
http://localhost:8000/login.php,POST,password,error-based,High,SQLite,',SQLSTATE\[[A-Z0-9]+\] | status=200 | prox=60,"// PHP PDO example
$stmt = $pdo->prepare('SELECT * FROM table WHERE password = ?');
$stmt->execute([$value]);
$row = $stmt->fetch();
"
http://localhost:8000/index.php,POST,comment,error-based,High,SQLite,',SQLSTATE\[[A-Z0-9]+\] | status=200 | prox=55,"// PHP PDO example
$stmt = $pdo->prepare('SELECT * FROM table WHERE comment = ?');
$stmt->execute([$value]);
$row = $stmt->fetch();
"
http://localhost:8000/view_upload.php,GET,id,boolean-blind,Medium,Unknown, AND 1=1 -- / AND 1=2 -- ,rounds=3 diffs=3 sim_avg=0.015,"// PHP PDO example
$stmt = $pdo->prepare('SELECT * FROM table WHERE id = ?');
$stmt->execute([$value]);
$row = $stmt->fetch();
"
http://localhost:8000/cart.php,POST,product_id,union-confirmed,Critical,SQLite,UNION SELECT 'ZXUNIONZX' --,columns=1,"// PHP PDO example
$stmt = $pdo->prepare('SELECT * FROM table WHERE product_id = ?');
$stmt->execute([$value]);
$row = $stmt->fetch();
"
http://localhost:8000/index.php,POST,add_comment,error-based,High,SQLite,',SQLSTATE\[[A-Z0-9]+\] | status=200 | prox=n/a,"// PHP PDO example
$stmt = $pdo->prepare('SELECT * FROM table WHERE add_comment = ?');
$stmt->execute([$value]);
$row = $stmt->fetch();
"
http://localhost:8000/products.php,GET,q,boolean-blind,Medium,Unknown,' OR '1'='1' -- /' OR '1'='2' -- ,rounds=3 diffs=3 sim_avg=0.522,"// PHP PDO example
$stmt = $pdo->prepare('SELECT * FROM table WHERE q = ?');
$stmt->execute([$value]);
$row = $stmt->fetch();
"
http://localhost:8000/search.php,GET,q,union-confirmed,Critical,SQLite,"UNION SELECT NULL,'ZXUNIONZX',NULL --",columns=3,"// PHP PDO example
$stmt = $pdo->prepare('SELECT * FROM table WHERE q = ?');
$stmt->execute([$value]);
$row = $stmt->fetch();
"
http://localhost:8000/view_upload.php,GET,id,union-confirmed,Critical,Unknown,"UNION SELECT NULL,'ZXUNIONZX',NULL --",columns=3,"// PHP PDO example
$stmt = $pdo->prepare('SELECT * FROM table WHERE id = ?');
$stmt->execute([$value]);
$row = $stmt->fetch();
"
http://localhost:8000/index.php,GET,q,union-confirmed,Critical,SQLite,"UNION SELECT NULL,'ZXUNIONZX',NULL --",columns=3,"// PHP PDO example
$stmt = $pdo->prepare('SELECT * FROM table WHERE q = ?');
$stmt->execute([$value]);
$row = $stmt->fetch();
"
http://localhost:8000/products.php,GET,q,union-confirmed,Critical,SQLite,"UNION SELECT NULL,NULL,'ZXUNIONZX',NULL,NULL --",columns=5,"// PHP PDO example
$stmt = $pdo->prepare('SELECT * FROM table WHERE q = ?');
$stmt->execute([$value]);
$row = $stmt->fetch();
"
http://localhost:8000/cart.php,POST,note,union-confirmed,Critical,SQLite,UNION SELECT 'ZXUNIONZX' --,columns=1,"// PHP PDO example
$stmt = $pdo->prepare('SELECT * FROM table WHERE note = ?');
$stmt->execute([$value]);
$row = $stmt->fetch();
"
http://localhost:8000/login.php,POST,username,union-confirmed,Critical,SQLite,"UNION SELECT NULL,'ZXUNIONZX',NULL --",columns=3,"// PHP PDO example
$stmt = $pdo->prepare('SELECT * FROM table WHERE username = ?');
$stmt->execute([$value]);
$row = $stmt->fetch();
"
http://localhost:8000/login.php,POST,password,union-confirmed,Critical,SQLite,"UNION SELECT NULL,'ZXUNIONZX',NULL --",columns=3,"// PHP PDO example
$stmt = $pdo->prepare('SELECT * FROM table WHERE password = ?');
$stmt->execute([$value]);
$row = $stmt->fetch();
"
http://localhost:8000/index.php,POST,comment,union-confirmed,Critical,SQLite,UNION SELECT 'ZXUNIONZX' --,columns=1,"// PHP PDO example
$stmt = $pdo->prepare('SELECT * FROM table WHERE comment = ?');
$stmt->execute([$value]);
$row = $stmt->fetch();
"
